#k i j q boundname
1 43 72 -0.0095 19/16__0
1 41 66 -0.0095 19/18__0
1 43 74 -0.0095 19/19__0
1 42 70 -0.0095 19/20__0
1 39 66 -0.0095 19/21__0
1 44 12 -0.008 21/14__0
1 46 10 -0.008 21/16__0
1 42 8 -0.008 21/5__0
1 41 10 -0.008 21/6__0
1 38 54 -0.005 2503__0
1 17 17 -0.01 2550__0
1 19 13 -0.008 2551__0
1 18 19 -0.012 2559__0
1 5 45 -0.0225 4740__0
1 6 45 -0.0225 4741__0
1 16 54 -0.008 5600/p1__0
1 17 55 -0.008 5600/p2__0
1 18 55 -0.008 5600/p3__0
1 18 51 0.006 5600/r1__0
1 18 51 0.006 5600/r2__0
1 19 52 0.006 5600/r3__0
1 19 52 0.006 5600/r4__0
1 20 52 0.024 5600/sca__0
1 18 44 -0.0214 5636/1__0
1 16 44 0.0214 5636/2__0
1 18 44 0.0214 5636/3__0
1 21 53 -0.006 5686/p1__0
1 21 53 -0.006 5686/p2__0
1 20 53 0.006 5686/r1__0
1 20 53 0.006 5686/r2__0
1 20 52 0.012 5686/sca__0
1 21 53 0.008 5700/sca__0
1 7 2 -0.0035 5814/1__0
1 54 28 0.006 5883/sca__0
1 25 20 -0.005 636__0
1 23 21 -0.005 637__0
1 21 56 -0.02 826__0
1 17 45 -0.0214 828__0
1 29 19 -0.003 830__0
1 19 55 -0.05 833__0
